Metagene	Cell type	Immunity	
SH3KBP1	Type 1 T helper cell	Adaptive	Charoentong
SIT1	Type 1 T helper cell	Adaptive	Charoentong
SLC35B3	Type 1 T helper cell	Adaptive	Charoentong
SIGLEC10	Type 1 T helper cell	Adaptive	Charoentong
SKAP1	Type 1 T helper cell	Adaptive	Charoentong
THUMPD2	Type 1 T helper cell	Adaptive	Charoentong
TIGIT	Type 1 T helper cell	Adaptive	Charoentong
ZEB2	Type 1 T helper cell	Adaptive	Charoentong
ENC1	Type 1 T helper cell	Adaptive	Charoentong
FAM134B	Type 1 T helper cell	Adaptive	Charoentong
FBXO30	Type 1 T helper cell	Adaptive	Charoentong
FCGR2C	Type 1 T helper cell	Adaptive	Charoentong
STAC	Type 1 T helper cell	Adaptive	Charoentong
LTC4S	Type 1 T helper cell	Adaptive	Charoentong
MAN1B1	Type 1 T helper cell	Adaptive	Charoentong
MDH1	Type 1 T helper cell	Adaptive	Charoentong
MMD	Type 1 T helper cell	Adaptive	Charoentong
RGS16	Type 1 T helper cell	Adaptive	Charoentong
IL12A	Type 1 T helper cell	Adaptive	Charoentong
P2RX5	Type 1 T helper cell	Adaptive	Charoentong
CD97	Type 1 T helper cell	Adaptive	Charoentong
ITGB4	Type 1 T helper cell	Adaptive	Charoentong
ICAM3	Type 1 T helper cell	Adaptive	Charoentong
METRNL	Type 1 T helper cell	Adaptive	Charoentong
TNFRSF1A	Type 1 T helper cell	Adaptive	Charoentong
IRF1	Type 1 T helper cell	Adaptive	Charoentong
HTR2B	Type 1 T helper cell	Adaptive	Charoentong
CALD1	Type 1 T helper cell	Adaptive	Charoentong
MOCOS	Type 1 T helper cell	Adaptive	Charoentong
TRAF3IP2	Type 1 T helper cell	Adaptive	Charoentong
TLR8	Type 1 T helper cell	Adaptive	Charoentong
TRAF1	Type 1 T helper cell	Adaptive	Charoentong
DUSP14	Type 1 T helper cell	Adaptive	Charoentong
IL17A	Type 17 T helper cell	Adaptive	Charoentong
IL17RA	Type 17 T helper cell	Adaptive	Charoentong
C2CD4A	Type 17 T helper cell	Adaptive	Charoentong
C2CD4B	Type 17 T helper cell	Adaptive	Charoentong
CA2	Type 17 T helper cell	Adaptive	Charoentong
CCDC65	Type 17 T helper cell	Adaptive	Charoentong
CEACAM3	Type 17 T helper cell	Adaptive	Charoentong
IL17C	Type 17 T helper cell	Adaptive	Charoentong
IL17F	Type 17 T helper cell	Adaptive	Charoentong
IL17RC	Type 17 T helper cell	Adaptive	Charoentong
IL17RE	Type 17 T helper cell	Adaptive	Charoentong
IL23A	Type 17 T helper cell	Adaptive	Charoentong
ILDR1	Type 17 T helper cell	Adaptive	Charoentong
LONRF3	Type 17 T helper cell	Adaptive	Charoentong
SH2D6	Type 17 T helper cell	Adaptive	Charoentong
TNIP2	Type 17 T helper cell	Adaptive	Charoentong
ABCA1	Type 17 T helper cell	Adaptive	Charoentong
ABCB1	Type 17 T helper cell	Adaptive	Charoentong
ADAMTS12	Type 17 T helper cell	Adaptive	Charoentong
ANK1	Type 17 T helper cell	Adaptive	Charoentong
ANKRD22	Type 17 T helper cell	Adaptive	Charoentong
B3GALT2	Type 17 T helper cell	Adaptive	Charoentong
CAMTA1	Type 17 T helper cell	Adaptive	Charoentong
CCR9	Type 17 T helper cell	Adaptive	Charoentong
CD40	Type 17 T helper cell	Adaptive	Charoentong
GPR44	Type 17 T helper cell	Adaptive	Charoentong
IFT80	Type 17 T helper cell	Adaptive	Charoentong
ASB2	Type 2 T helper cell	Adaptive	Charoentong
CSRP2	Type 2 T helper cell	Adaptive	Charoentong
DAPK1	Type 2 T helper cell	Adaptive	Charoentong
DLC1	Type 2 T helper cell	Adaptive	Charoentong
DNAJC12	Type 2 T helper cell	Adaptive	Charoentong
DUSP6	Type 2 T helper cell	Adaptive	Charoentong
GNAI1	Type 2 T helper cell	Adaptive	Charoentong
LAMP3	Type 2 T helper cell	Adaptive	Charoentong
NRP2	Type 2 T helper cell	Adaptive	Charoentong
OSBPL1A	Type 2 T helper cell	Adaptive	Charoentong
PDE4B	Type 2 T helper cell	Adaptive	Charoentong
PHLDA1	Type 2 T helper cell	Adaptive	Charoentong
PLA2G4A	Type 2 T helper cell	Adaptive	Charoentong
RAB27B	Type 2 T helper cell	Adaptive	Charoentong
RBMS3	Type 2 T helper cell	Adaptive	Charoentong
RNF125	Type 2 T helper cell	Adaptive	Charoentong
TMPRSS3	Type 2 T helper cell	Adaptive	Charoentong
GATA3	Type 2 T helper cell	Adaptive	Charoentong
BIRC5	Type 2 T helper cell	Adaptive	Charoentong
CDC25C	Type 2 T helper cell	Adaptive	Charoentong
CDC7	Type 2 T helper cell	Adaptive	Charoentong
CENPF	Type 2 T helper cell	Adaptive	Charoentong
CXCR6	Type 2 T helper cell	Adaptive	Charoentong
DHFR	Type 2 T helper cell	Adaptive	Charoentong
EVI5	Type 2 T helper cell	Adaptive	Charoentong
GSTA4	Type 2 T helper cell	Adaptive	Charoentong
HELLS	Type 2 T helper cell	Adaptive	Charoentong
IL26	Type 2 T helper cell	Adaptive	Charoentong
LAIR2	Type 2 T helper cell	Adaptive	Charoentong
